Alabama,3834249,9,95,90,15,10,95,90,15,10,33,36,15,16
Alaska,552427,3,95,90,15,10,95,90,15,10,34,31,18,17
Arizona,5774978,11,95,90,15,10,95,90,15,10,41,42,9,9
Arkansas,2330808,6,95,90,15,10,95,90,15,10,39,40,10,11
California,30576844,55,55,45,15,10,55,45,15,10,36,36,14,14
Colorado,4557684,9,95,90,15,10,95,90,15,10,44,43,7,6
Connecticut,2838054,7,95,90,15,10,95,90,15,10,39,40,10,11
Delaware,782153,3,95,90,15,10,95,90,15,10,33,36,15,16
District of Columbia,583228,3,95,90,15,10,95,90,15,10,22,24,26,28
Florida,17482580,29,95,90,15,10,95,90,15,10,38,40,11,12
Georgia,8210067,16,95,90,15,10,95,90,15,10,29,31,19,20
Hawaii,1111188,4,95,90,15,10,95,90,15,10,13,13,37,37
Idaho,1375870,4,95,90,15,10,95,90,15,10,47,46,4,3
Illinois,9809562,20,55,45,15,10,55,45,15,10,38,39,11,12
Indiana,5188514,11,55,45,15,10,55,45,15,10,42,43,7,8
Iowa,2438002,6,95,90,15,10,95,90,15,10,45,45,5,5
Kansas,2217059,6,95,90,15,10,95,90,15,10,43,43,7,7
Kentucky,3475334,8,95,90,15,10,95,90,15,10,43,44,6,6
Louisiana,3564038,8,95,90,15,10,95,90,15,10,31,32,18,19
Maine,1101973,4,95,90,15,10,95,90,15,10,46,48,3,3
Maryland,4721883,10,95,90,15,10,95,90,15,10,28,30,20,21
Massachusetts,5552051,11,55,45,15,10,55,45,15,10,39,42,9,10
Michigan,7839742,16,55,45,15,10,55,45,15,10,39,40,10,11
Minnesota,4356123,10,95,90,15,10,95,90,15,10,42,42,8,8
Mississippi,2273653,6,95,90,15,10,95,90,15,10,29,30,20,21
Missouri,4780119,10,95,90,15,10,95,90,15,10,41,42,8,9
Montana,850894,3,95,90,15,10,95,90,15,10,45,44,6,6
Nebraska,1462537,5,95,90,15,10,95,90,15,10,44,44,6,6
Nevada,2440679,6,95,90,15,10,95,90,15,10,37,37,13,13
New Hampshire,1113141,4,95,90,15,10,95,90,15,10,46,47,3,3
New Jersey,6947836,14,55,45,15,10,55,45,15,10,35,37,14,14
New Mexico,1633828,5,95,90,15,10,95,90,15,10,41,41,9,9
New York,15348422,29,55,45,15,10,55,45,15,10,34,36,15,16
North Carolina,8294423,15,55,45,15,10,55,45,15,10,34,36,14,15
North Dakota,583680,3,95,90,15,10,95,90,15,10,45,42,7,6
Ohio,9124576,18,55,45,15,10,55,45,15,10,40,42,9,9
Oklahoma,3027263,7,95,90,15,10,95,90,15,10,36,38,13,13
Oregon,3380729,7,95,90,15,10,95,90,15,10,43,44,7,7
Pennsylvania,10162497,20,55,45,15,10,55,45,15,10,40,42,9,9
Rhode Island,855276,4,95,90,15,10,95,90,15,10,41,43,8,8
South Carolina,4100115,9,95,90,15,10,95,90,15,10,33,35,15,16
South Dakota,674238,3,95,90,15,10,95,90,15,10,43,42,8,8
Tennessee,5373433,11,95,90,15,10,95,90,15,10,38,40,11,11
Texas,21925627,38,55,45,15,10,55,45,15,10,39,40,11,11
Utah,2320603,6,95,90,15,10,95,90,15,10,46,45,5,5
Vermont,510181,3,95,90,15,10,95,90,15,10,47,48,3,3
Virginia,6724143,13,95,90,15,10,95,90,15,10,34,35,15,16
Washington,6027818,12,95,90,15,10,95,90,15,10,39,39,11,11
West Virginia,1428520,5,95,90,15,10,95,90,15,10,46,47,3,3
Wisconsin,4574131,10,95,90,15,10,95,90,15,10,43,44,6,7
Wyoming,449237,3,95,90,15,10,95,90,15,10,47,45,4,4
